NUTS,DISTRICT_CODE,SUB_DISTRICT_CODE,REF_YEAR,REF_DATE,SEX,AGE5,nationality_group,population_count
AT13,90100,90100,2004,2004-01-01,1,3,REU,12
AT13,90100,90100,2005,2005-01-01,1,3,REU,14
AT13,90100,90100,2006,2006-01-01,1,3,REU,18
AT13,90100,90100,2007,2007-01-01,1,3,REU,16
AT13,90100,90100,2008,2008-01-01,1,3,REU,15
AT13,90100,90100,2009,2009-01-01,1,3,REU,12
AT13,90100,90100,2010,2010-01-01,1,3,REU,9
AT13,90100,90100,2011,2011-01-01,1,3,REU,8
AT13,90100,90100,2012,2012-01-01,1,3,REU,11
AT13,90100,90100,2013,2013-01-01,1,3,REU,15
AT13,90100,90100,2014,2014-01-01,1,3,REU,20
AT13,90100,90100,2015,2015-01-01,1,3,REU,24
AT13,90100,90100,2016,2016-01-01,1,3,REU,23
AT13,90100,90100,2017,2017-01-01,1,3,REU,26
AT13,90100,90100,2018,2018-01-01,1,3,REU,24
AT13,90100,90100,2019,2019-01-01,1,3,REU,25
AT13,90100,90100,2020,2020-01-01,1,3,REU,24
AT13,90100,90100,2021,2021-01-01,1,3,REU,28
AT13,90100,90100,2022,2022-01-01,1,3,REU,20
AT13,90100,90100,2023,2023-01-01,1,3,REU,54
AT13,90100,90100,2024,2024-01-01,1,3,REU,36
AT13,90100,90100,2025,2025-01-01,1,3,REU,25
AT13,90100,90100,2002,2002-01-01,1,3,TCN,10
AT13,90100,90100,2003,2003-01-01,1,3,TCN,5
AT13,90100,90100,2004,2004-01-01,1,3,TCN,4
AT13,90100,90100,2005,2005-01-01,1,3,TCN,6
AT13,90100,90100,2006,2006-01-01,1,3,TCN,5
AT13,90100,90100,2007,2007-01-01,1,3,TCN,6
AT13,90100,90100,2008,2008-01-01,1,3,TCN,7
AT13,90100,90100,2009,2009-01-01,1,3,TCN,7
AT13,90100,90100,2010,2010-01-01,1,3,TCN,2
AT13,90100,90100,2011,2011-01-01,1,3,TCN,5
AT13,90100,90100,2012,2012-01-01,1,3,TCN,5
AT13,90100,90100,2013,2013-01-01,1,3,TCN,10
AT13,90100,90100,2014,2014-01-01,1,3,TCN,12
AT13,90100,90100,2015,2015-01-01,1,3,TCN,12
AT13,90100,90100,2016,2016-01-01,1,3,TCN,7
AT13,90100,90100,2017,2017-01-01,1,3,TCN,12
AT13,90100,90100,2018,2018-01-01,1,3,TCN,16
AT13,90100,90100,2019,2019-01-01,1,3,TCN,18
AT13,90100,90100,2020,2020-01-01,1,3,TCN,13
AT13,90100,90100,2021,2021-01-01,1,3,TCN,13
AT13,90100,90100,2022,2022-01-01,1,3,TCN,9
AT13,90100,90100,2023,2023-01-01,1,3,TCN,8
AT13,90100,90100,2024,2024-01-01,1,3,TCN,18
AT13,90100,90100,2025,2025-01-01,1,3,TCN,14
AT13,90100,90100,2002,2002-01-01,1,4,AUT,294
AT13,90100,90100,2003,2003-01-01,1,4,AUT,283
AT13,90100,90100,2004,2004-01-01,1,4,AUT,286
AT13,90100,90100,2005,2005-01-01,1,4,AUT,261
AT13,90100,90100,2006,2006-01-01,1,4,AUT,262
AT13,90100,90100,2007,2007-01-01,1,4,AUT,252
AT13,90100,90100,2008,2008-01-01,1,4,AUT,245
AT13,90100,90100,2009,2009-01-01,1,4,AUT,239
AT13,90100,90100,2010,2010-01-01,1,4,AUT,244
AT13,90100,90100,2011,2011-01-01,1,4,AUT,242
AT13,90100,90100,2012,2012-01-01,1,4,AUT,243
AT13,90100,90100,2013,2013-01-01,1,4,AUT,241
AT13,90100,90100,2014,2014-01-01,1,4,AUT,229
AT13,90100,90100,2015,2015-01-01,1,4,AUT,249
AT13,90100,90100,2016,2016-01-01,1,4,AUT,238
AT13,90100,90100,2017,2017-01-01,1,4,AUT,238
AT13,90100,90100,2018,2018-01-01,1,4,AUT,228
AT13,90100,90100,2019,2019-01-01,1,4,AUT,221
AT13,90100,90100,2020,2020-01-01,1,4,AUT,219
AT13,90100,90100,2021,2021-01-01,1,4,AUT,215
AT13,90100,90100,2022,2022-01-01,1,4,AUT,202
AT13,90100,90100,2023,2023-01-01,1,4,AUT,209
AT13,90100,90100,2024,2024-01-01,1,4,AUT,198
AT13,90100,90100,2025,2025-01-01,1,4,AUT,190
AT13,90100,90100,2002,2002-01-01,1,4,EEA,35
AT13,90100,90100,2003,2003-01-01,1,4,EEA,36
AT13,90100,90100,2004,2004-01-01,1,4,EEA,38
AT13,90100,90100,2005,2005-01-01,1,4,EEA,30
AT13,90100,90100,2006,2006-01-01,1,4,EEA,31
AT13,90100,90100,2007,2007-01-01,1,4,EEA,22
AT13,90100,90100,2008,2008-01-01,1,4,EEA,26
AT13,90100,90100,2009,2009-01-01,1,4,EEA,24
AT13,90100,90100,2010,2010-01-01,1,4,EEA,20
AT13,90100,90100,2011,2011-01-01,1,4,EEA,23
AT13,90100,90100,2012,2012-01-01,1,4,EEA,25
AT13,90100,90100,2013,2013-01-01,1,4,EEA,20
AT13,90100,90100,2014,2014-01-01,1,4,EEA,27
AT13,90100,90100,2015,2015-01-01,1,4,EEA,35
AT13,90100,90100,2016,2016-01-01,1,4,EEA,26
AT13,90100,90100,2017,2017-01-01,1,4,EEA,21
AT13,90100,90100,2018,2018-01-01,1,4,EEA,31
AT13,90100,90100,2019,2019-01-01,1,4,EEA,33
AT13,90100,90100,2020,2020-01-01,1,4,EEA,34
AT13,90100,90100,2021,2021-01-01,1,4,EEA,31
AT13,90100,90100,2022,2022-01-01,1,4,EEA,29
AT13,90100,90100,2023,2023-01-01,1,4,EEA,36
AT13,90100,90100,2024,2024-01-01,1,4,EEA,33
AT13,90100,90100,2025,2025-01-01,1,4,EEA,40
AT13,90100,90100,2002,2002-01-01,1,4,REU,21
AT13,90100,90100,2003,2003-01-01,1,4,REU,19
AT13,90100,90100,2004,2004-01-01,1,4,REU,16
AT13,90100,90100,2005,2005-01-01,1,4,REU,17
AT13,90100,90100,2006,2006-01-01,1,4,REU,14
AT13,90100,90100,2007,2007-01-01,1,4,REU,7
AT13,90100,90100,2008,2008-01-01,1,4,REU,16
AT13,90100,90100,2009,2009-01-01,1,4,REU,17
AT13,90100,90100,2010,2010-01-01,1,4,REU,16
AT13,90100,90100,2011,2011-01-01,1,4,REU,17
AT13,90100,90100,2012,2012-01-01,1,4,REU,19
AT13,90100,90100,2013,2013-01-01,1,4,REU,20
AT13,90100,90100,2014,2014-01-01,1,4,REU,20
AT13,90100,90100,2015,2015-01-01,1,4,REU,27
AT13,90100,90100,2016,2016-01-01,1,4,REU,24
AT13,90100,90100,2017,2017-01-01,1,4,REU,26
AT13,90100,90100,2018,2018-01-01,1,4,REU,38
AT13,90100,90100,2019,2019-01-01,1,4,REU,31
AT13,90100,90100,2020,2020-01-01,1,4,REU,27
AT13,90100,90100,2021,2021-01-01,1,4,REU,22
AT13,90100,90100,2022,2022-01-01,1,4,REU,24
AT13,90100,90100,2023,2023-01-01,1,4,REU,70
AT13,90100,90100,2024,2024-01-01,1,4,REU,65
AT13,90100,90100,2025,2025-01-01,1,4,REU,61
AT13,90100,90100,2002,2002-01-01,1,4,TCN,11
AT13,90100,90100,2003,2003-01-01,1,4,TCN,10
AT13,90100,90100,2004,2004-01-01,1,4,TCN,9
AT13,90100,90100,2005,2005-01-01,1,4,TCN,22
AT13,90100,90100,2006,2006-01-01,1,4,TCN,21
AT13,90100,90100,2007,2007-01-01,1,4,TCN,17
AT13,90100,90100,2008,2008-01-01,1,4,TCN,11
AT13,90100,90100,2009,2009-01-01,1,4,TCN,2
AT13,90100,90100,2010,2010-01-01,1,4,TCN,7
AT13,90100,90100,2011,2011-01-01,1,4,TCN,6
AT13,90100,90100,2012,2012-01-01,1,4,TCN,12
AT13,90100,90100,2013,2013-01-01,1,4,TCN,12
AT13,90100,90100,2014,2014-01-01,1,4,TCN,9
AT13,90100,90100,2015,2015-01-01,1,4,TCN,7
AT13,90100,90100,2016,2016-01-01,1,4,TCN,15
AT13,90100,90100,2017,2017-01-01,1,4,TCN,27
AT13,90100,90100,2018,2018-01-01,1,4,TCN,18
AT13,90100,90100,2019,2019-01-01,1,4,TCN,27
AT13,90100,90100,2020,2020-01-01,1,4,TCN,16
AT13,90100,90100,2021,2021-01-01,1,4,TCN,13
AT13,90100,90100,2022,2022-01-01,1,4,TCN,15
AT13,90100,90100,2023,2023-01-01,1,4,TCN,15
AT13,90100,90100,2024,2024-01-01,1,4,TCN,21
AT13,90100,90100,2025,2025-01-01,1,4,TCN,23
AT13,90100,90100,2002,2002-01-01,1,5,AUT,334
AT13,90100,90100,2003,2003-01-01,1,5,AUT,337
AT13,90100,90100,2004,2004-01-01,1,5,AUT,339
AT13,90100,90100,2005,2005-01-01,1,5,AUT,345
AT13,90100,90100,2006,2006-01-01,1,5,AUT,348
AT13,90100,90100,2007,2007-01-01,1,5,AUT,330
AT13,90100,90100,2008,2008-01-01,1,5,AUT,319
AT13,90100,90100,2009,2009-01-01,1,5,AUT,318
AT13,90100,90100,2010,2010-01-01,1,5,AUT,287
AT13,90100,90100,2011,2011-01-01,1,5,AUT,287
AT13,90100,90100,2012,2012-01-01,1,5,AUT,300
AT13,90100,90100,2013,2013-01-01,1,5,AUT,299
AT13,90100,90100,2014,2014-01-01,1,5,AUT,294
AT13,90100,90100,2015,2015-01-01,1,5,AUT,305
AT13,90100,90100,2016,2016-01-01,1,5,AUT,297
AT13,90100,90100,2017,2017-01-01,1,5,AUT,277
AT13,90100,90100,2018,2018-01-01,1,5,AUT,280
AT13,90100,90100,2019,2019-01-01,1,5,AUT,287
AT13,90100,90100,2020,2020-01-01,1,5,AUT,276
AT13,90100,90100,2021,2021-01-01,1,5,AUT,308
AT13,90100,90100,2022,2022-01-01,1,5,AUT,312
AT13,90100,90100,2023,2023-01-01,1,5,AUT,296
AT13,90100,90100,2024,2024-01-01,1,5,AUT,294
AT13,90100,90100,2025,2025-01-01,1,5,AUT,293
AT13,90100,90100,2002,2002-01-01,1,5,EEA,51
AT13,90100,90100,2003,2003-01-01,1,5,EEA,46
AT13,90100,90100,2004,2004-01-01,1,5,EEA,42
AT13,90100,90100,2005,2005-01-01,1,5,EEA,43
AT13,90100,90100,2006,2006-01-01,1,5,EEA,47
AT13,90100,90100,2007,2007-01-01,1,5,EEA,48
AT13,90100,90100,2008,2008-01-01,1,5,EEA,49
AT13,90100,90100,2009,2009-01-01,1,5,EEA,57
AT13,90100,90100,2010,2010-01-01,1,5,EEA,60
AT13,90100,90100,2011,2011-01-01,1,5,EEA,61
AT13,90100,90100,2012,2012-01-01,1,5,EEA,53
AT13,90100,90100,2013,2013-01-01,1,5,EEA,73
AT13,90100,90100,2014,2014-01-01,1,5,EEA,68
AT13,90100,90100,2015,2015-01-01,1,5,EEA,66
AT13,90100,90100,2016,2016-01-01,1,5,EEA,95
AT13,90100,90100,2017,2017-01-01,1,5,EEA,74
AT13,90100,90100,2018,2018-01-01,1,5,EEA,67
AT13,90100,90100,2019,2019-01-01,1,5,EEA,79
